Code_substance;nom_substance;dose_substance;nom_element_pharmaceutique;reference_dosage;nature_composant;num_liaison_SA_FT
5641;SOJA (HUILE DE) (FRACTION INSAPONIFIABLE D');200 mg;gélule;une gélule;SA;1
5642;AVOCAT (HUILE D') (FRACTION INSAPONIFIABLE D');100 mg;gélule;une gélule;SA;2
5647;GENIÈVRE;102 mg;gélule;une gélule;SA;1
5667;TÉNOATE DE SODIUM;2,340 g;solution;100 ml;SA;1
5715;ANATOXINE DIPHTÉRIQUE ;supérieur ou égal à 20 UI;suspension;0,50 ml;SA;1
5717;ANATOXINE TÉTANIQUE ;supérieur ou égal à 40 UI;suspension;0,50 ml;SA;2
5718;IMMUNOGLOBULINE HUMAINE NORMALE (PLASMATIQUE);50 mg;solution;1 ml;SA;1
5726;LOMUSTINE;40 mg;gélule;une gélule;SA;1
5751;PIRIBÉDIL;50 mg;comprimé;un comprimé;SA;1
5759;CHLORURE D'ACÉTYLCHOLINE;20 mg;poudre;un flacon;SA;1
5760;TARTRATE DE CYAMÉMAZINE;146,400 mg;comprimé;un comprimé;SA;1
5762;TARTRATE D'ALIMÉMAZINE;0,0625 g;sirop;100 ml de sirop;SA;1
5765;TIAPRIDE (CHLORHYDRATE DE);111,10 mg;comprimé;un comprimé;SA;1
5767;IMIPRAMINE (CHLORHYDRATE D');25 mg;comprimé;un comprimé;SA;1
5777;CYCLOPENTOLATE (CHLORHYDRATE DE);0,5 g;collyre;100 ml;SA;1
5791;BRYONE (TEINTURE DE);0,1 g;pommade;100 g de pommade;SA;3
5809;AURUM MURIATICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;0,625 ml (8DH);solution;250 ml de solution;SA;12
5845;CARDINE POUR PRÉPARATIONS HOMÉOPATHIQUES;4CH à 30CH et 8DH à 60DH;granuléss;une gélule;SA;14
5865;CARBOPLATINE;10 mg;solution;1 ml;SA;1
5922;ALFENTANIL;5,00 mg;solution;une ampoule de 10 ml;FT;1
5957;EUCALYPTUS GLOBULUS POUR PRÉPARATIONS HOMÉOPATHIQUES;5,000 mg (TM);comprimé;un comprimé;SA;10
5966;HYDROXYCITRONELLAL;0,054 mg;dispositif n°6 PANEL 1;un dispositif;SA;18
6018;CÉTRIMIDE;0,15 g;solution;100 ml de solution pour usage dentaire;SA;2
6088;ISOTRÉTINOÏNE;20 mg;capsule;une capsule;SA;1
6092;FLUTAMIDE;250 mg;comprimé;un comprimé;SA;1
6131;NATRUM SULFURICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;3 ml (2 DH);solution;un flacon de 30 ml;SA;6
6166;ALFENTANIL (CHLORHYDRATE D');5,44 mg;solution;une ampoule de 10 ml;SA;1
6195;CHENOPODIUM ANTHELMINTICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;3CH à 30CH et 6DH à 60DH;comprimé;un comprimé;SA;18
6197;TRIPTORÉLINE;11,25 mg;poudre;une unité de prise;FT;1
6201;ÉOSINE DISODIQUE;2 g;solution;100 ml de solution;SA;1
6206;MACROGOL 4000;10,000 g;poudre;un sachet;SA;1
6207;PSYLLIUM (POUDRE DE);3,6 g;poudre;un sachet de 6,9 g;SA;1
6209;SULPROSTONE;0,500 mg;lyophilisat;une ampoule de lyophilisat;SA;1
6238;NATRUM SALICYLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;3 mL (4 DH);solution;30 mL de solution;SA;10
6247;TRIOXYDE D'ARSENIC;2 mg;solution;1 mL de solution;SA;5
6249;SODIUM (IODURE [123 I] DE) (SOLUTION DE);18,5 MBq à la date et heure de calibration;solution;1 ml;SA;1
6254;FLUMAZÉNIL;0,10 mg;solution;1 ml de solution injectable;SA;1
6292;FOTÉMUSTINE;208 mg;poudre;un flacon;SA;1
6352;TIOCONAZOLE;300 mg;ovule;un ovule;SA;1
6375;PENTAMIDINE (ISÉTIONATE DE);300 mg;poudre;un flacon;SA;1
6379;SODIUM (POLYSTYRÈNE SULFONATE DE);453,70036 g;poudre;une boite de 454 g;SA;1
6427;GLONOINUM POUR PRÉPARATIONS HOMÉOPATHIQUES;3CH à 30CH et 6DH à 60DH;granuléss;1 mL de solution;SA;14
6431;LORATADINE;10 mg;comprimé;un comprimé;SA;1
6436;CALCAREA CARBONICA OSTREARUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;granuléss;100 ml;SA;17
6447;MAGNESIA SULFURICA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;100 ml de suspension buvable;SA;17
6492;BÉSILATE D'ATRACURIUM;25 mg;solution;une ampoule;SA;1
6580;GRINDELIA POUR PRÉPARATIONS HOMÉOPATHIQUES;3CH;granuléss;un comprimé;SA;5
6610;MAGNESIA PHOSPHORICA POUR PRÉPARATIONS HOMÉOPATHIQUES;25 mg (3 DH);comprimé;un comprimé;SA;5
6619;MANGANUM PEROXYDATUM POUR PRÉPARATIONS HOMÉOPATHIQUES;25 mg (3 DH);comprimé;un comprimé;SA;6
6657;ARSENICUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;4CH à 30CH et 7DH à 60DH;comprimé;un comprimé;SA;18
6695;CALCAREA SULFURICA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;une gélule;SA;17
6696;HEPATINE POUR PRÉPARATIONS HOMÉOPATHIQUES;8 DH;granuléss;une cartouche de 1,8 ml;SA;21
6701;ACETANILIDUM POUR PRÉPARATIONS HOMÉOPATHIQUES;3CH à 30CH et 6DH à 60DH;comprimé;100 ml de solution;SA;18
6736;THYROIDEA POUR PRÉPARATIONS HOMÉOPATHIQUES;4CH à 30CH et 8DH à 60DH (crème à 4 %);crème;un comprimé;SA;18
6742;BENZOICUM ACIDUM POUR PRÉPARATIONS HOMÉOPATHIQUES;6 ml (2 DH);solution;30 ml de solution buvable en gouttes;SA;5
6745;CUPRESSUS SEMPERVIRENS POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;une cuillère-mesure de 5 ml de suspension reconstituée;SA;18
6771;VISCUM ALBUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;une dose de 6 granuléss par cuillère-mesure;SA;17
6776;HYDROMORPHONE;7,12 mg.;gélule;une gélule;FT;1
6780;FERRUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;100 ml;SA;18
6783;GLUCOSE-1 PHOSPHATE DISODIQUE TÉTRAHYDRATÉ;250,8 mg;solution;1 ml de solution à diluer pour perfusion;SA;1
6796;KALIUM SULFURICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;une seringue pré-remplie de 0,5 ml;SA;17
6818;PASSIFLORE (EXTRAIT DE) (SEC);150 mg;comprimé;un comprimé;SA;2
6825;MUPIROCINE;2 g;pommade;100 g de pommade;SA;1
6899;STANNUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;10 DH;poudre orale;un comprimé;SA;20
6925;SILICEA POUR PRÉPARATIONS HOMÉOPATHIQUES;25 mg (3 DH);comprimé;un comprimé;SA;1
6941;ZUCLOPENTHIXOL (DÉCANOATE DE);200 mg;solution;1 ml;SA;1
6960;IGNATIA AMARA POUR PRÉPARATIONS HOMÉOPATHIQUES;3 DH (3ml);solution;30 ml de solution buvable;SA;5
6978;MANGANUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;100 ml;SA;17
6984;ATROPINUM SULFURICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;0,075 g (5 DH);comprimé;un comprimé;SA;4
6987;TARTRATE DE DIHYDROCODÉINE;60 mg;comprimé;un comprimé;SA;1
7032;MÉTHYLPREDNISOLONE (HÉMISUCCINATE DE);633,65 mg;poudre;un flacon de poudre;SA;1
7033;CAMPHORA POUR PRÉPARATIONS HOMÉOPATHIQUES;4CH à 30CH et 8DH à 60DH;comprimé;100 ml;SA;17
7054;ROSMARINUS OFFICINALIS POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;un comprimé;SA;18
7055;DOXYCYCLINE MONOHYDRATÉE;104,10 mg;comprimé;un comprimé;SA;1
7063;NATRUM NITRICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;40 mg (3 DH);comprimé;un comprimé;SA;4
7176;HYPERICUM PERFORATUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;un comprimé;SA;18
7192;CAMOMILLE ROMAINE (TEINTURE DE);0,0270 g;solution;100 ml de solution buvable;SA;8
7223;MAGNESIA CARBONICA POUR PRÉPARATIONS HOMÉOPATHIQUES;0,001g (5 CH);collyre;une dose de 0,4 ml;SA;3
7238;MISOPROSTOL;25 microgrammes;comprimé;un comprimé;SA;1
7239;LACTITOL MONOHYDRATÉ;2,5 g;poudre;un sachet;SA;1
7277;LEUPRORÉLINE;20,87 mg;poudre;une seringue préremplie de poudre pour solution injectable;FT;1
7283;OVARINUM POUR PRÉPARATIONS HOMÉOPATHIQUES;8 DH;granuléss;un comprimé;SA;21
7289;CICLÉTANINE (CHLORHYDRATE DE);50 mg;gélule;une gélule;SA;1
7301;LYSINE MONOHYDRATÉE;3,576 g;émulsion;1000 mL d'émulsion après mélange;SA;6
7326;TRIGLYCÉRIDES À CHAÎNE MOYENNE;20,0 g;émulsion;1000 mL d'émulsion après mélange;SA;3
7374;CRATAEGUS OXYACANTHA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;100 g de gel;SA;17
7436;FUMARATE DE BISOPROLOL;2,5 mg;comprimé;un comprimé;SA;1
7469;ERYSIMUM OFFICINALE POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;0,5 ml de solution;SA;18
7482;KALIUM IODATUM POUR PRÉPARATIONS HOMÉOPATHIQUES;1,25 ml (4DH);solution;250 ml de solution;SA;8
7485;PARTIE AÉRIENNE DE PASSIFLORE;30 g;plante(s);100 g de mélange de plantes pour tisane;SA;4
7504;AURUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;83,3 mg (10 DH);comprimé;un comprimé;SA;1
7529;HYDROGÈNE (PEROXYDE D') (SOLUTION CONCENTRÉE DE);3 g;solution;100 ml;SA;1
7542;VIRUS POLIOMYÉLITIQUE SOUCHE MEF-1 DE TYPE 2 INACTIVÉ ;8 U.D;suspension;0,50 ml;SA;6
7560;CHLORHYDRATE DE FLUOXÉTINE;22,36 mg;gélule;une gélule;SA;1
7572;PHOSPHATE MONOSODIQUE MONOHYDRATÉ;1102 mg;comprimé;un comprimé;SA;1
7587;MÉGLUMINE;195 mg;solution;1 ml de solution;FT;2
7589;MAGNESIA MURIATICA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;un comprimé;SA;18
7603;PROPOFOL;10 mg;émulsion;1ml;SA;1
7645;MAGNÉSIUM (HYDROGÉNOPHOSPHATE DE) TRIHYDRATÉ;30,38 mg de magnésium;comprimé;un comprimé;SA;17
7649;SALVIA OFFICINALIS POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;un sachet;SA;18
7728;MAGNÉSIUM (SULFATE DE) TRIHYDRATÉ;423,5 mg;gélule;une gélule;SA;1
7742;BUTOXYDE DE PIPÉRONYLE;7,27 g;solution;100 g de solution;SA;3
7764;LAUROCERASUS POUR PREPARATIONS HOMEOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;une gélule;SA;17
7773;PHOSPHORUS POUR PRÉPARATIONS HOMÉOPATHIQUES;5CH à 30CH et 10DH à 60DH;comprimé;100 ml de solution moussante;SA;18
7786;STICTA PULMONARIA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;un comprimé;SA;17
7787;CHLORURE DE MIRISTALKONIUM;0,90 g;crème;100 g;SA;1
7823;CICUTA VIROSA POUR PRÉPARATIONS HOMÉOPATHIQUES;6 DH (3ml);solution;30 ml de solution buvable;SA;6
7833;POLYSORBATE 20;0,300 g;sirop;100 ml;SA;2
7847;CALCAREA FLUORICA POUR PRÉPARATIONS HOMÉOPATHIQUES;25 mg ( 4 DH);comprimé;un comprimé;SA;7
7864;FOENUM GRAECUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;un comprimé;SA;18
7877;ALLIUM SATIVUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;un comprimé;SA;18
7886;ABSINTHIUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;un sachet;SA;17
7901;HYOSCYAMUS NIGER POUR PRÉPARATIONS HOMÉOPATHIQUES;1 DH (3ml);solution;30 ml de solution buvable;SA;7
7911;KALIUM PHOSPHORICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;83,3 mg (6 DH);comprimé;un comprimé;SA;3
7941;MANDRAGORA OFFICINARUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH (crème à 4 %);crème;1 ml de solution à diluer pour perfusion;SA;18
7950;SCILLA MARITIMA POUR PRÉPARATIONS HOMÉOPATHIQUES;3CH à 30CH et 6DH à 60DH;comprimé;un comprimé;SA;18
7958;CHLORHYDRATE DE CÉLIPROLOL;200 mg;comprimé;un comprimé;SA;1
7970;CASSIS (FEUILLE DE) (POUDRE DE);340 mg;gélule;une gélule;SA;1
7987;TABACUM POUR PRÉPARATIONS HOMÉOPATHIQUES;5 mg (8 DH);comprimé;un comprimé;SA;2
8011;CARMUSTINE;100 mg;poudre;un flacon;SA;1
8014;ARSENICUM ALBUM POUR PRÉPARATIONS HOMÉOPATHIQUES;3 mL (4 DH);solution;30 mL de solution;SA;10
8033;CUPRUM SULFURICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;3CH à 30CH et 5DH à 60DH;granuléss;un comprimé;SA;14
8036;OXALICUM ACIDUM POUR PRÉPARATIONS HOMÉOPATHIQUES;3 ml (8 DH);solution;un flacon de 30 ml;SA;7
8112;CALCITRIOL;3 microgrammes;pommade;1 g;SA;1
8137;ZUCLOPENTHIXOL (ACÉTATE DE);50 mg;solution;1 ml;SA;1
8152;LÉVOCARNITINE;1000 mg;solution;une ampoule;SA;1
8171;ETHYLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;un flacon;SA;18
8172;SEPIA OFFICINALIS POUR PRÉPARATIONS HOMÉOPATHIQUES;5 mg (6 DH);comprimé;un comprimé;SA;4
8173;ÉPOÉTINE ALFA ;5000 UI;solution;0,5 ml;SA;1
8190;CHLORURE DE CHROME HEXAHYDRATÉ;53,3 microgrammes;solution;une ampoule de 10 ml;SA;7
8210;NATRUM PHOSPHORICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;100 g de gel;SA;18
8212;NUX MOSCHATA POUR PRÉPARATIONS HOMÉOPATHIQUES;0,625 mg (4 CH);comprimé;un comprimé;SA;6
8215;TIANEPTINE SODIQUE;12,500 mg;comprimé;un comprimé;SA;1
8216;SALIX ALBA POUR PRÉPARATIONS HOMÉOPATHIQUES;11,5 g (1 DH);solution;100 g de solution buvable;SA;4
8234;BOLDO (PEUMUS BOLDUS) ;3 ml (TM);solution;un flacon de 30 ml;SA;8
8237;GESTODÈNE;0,06 mg;comprimé jaune;un comprimé;SA;1
8280;GLYCYRRHIZA GLABRA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;1 mL de solution reconstituée;SA;18
8327;SULBACTAM SODIQUE;0,615 g;poudre;un flacon;SA;1
8351;ÉNOXAPARINE SODIQUE ;100 mg;solution;un seringue préremplie;SA;1
8365;GRAPHITE;1,340 g;solide;un creuset;SA;1
8440;KOLA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;1 ml de solution;SA;18
8457;CARICA PAPAYA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;une gélule;SA;18
8476;GANCICLOVIR SODIQUE;546 mg;poudre;un flacon;SA;1
8477;ARGENT;1,068 mg;solution;100 ml de solution buvable;FT;3
8496;ZINCUM MURIATICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;3,33 ml (8 DH);solution;un flacon de 30 ml;SA;4
8541;ANTIMONIUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;6 DH 67%;poudre;1 ml de solution à diluer pour perfusion;SA;1
8554;SODIUM (PERTECHNÉTATE [99M TC] DE);2 - 20 GBq à la date de calibration;éluat;un générateur;FT;1
8578;ACITRÉTINE;10 mg;gélule;1 ml de solution;SA;1
8582;SOMMITÉ FLEURIE D'AUBÉPINE;30 g;plante(s);100 g de mélange de plantes pour tisane;SA;1
8605;TEREBENTHINA POUR PRÉPARATIONS HOMÉOPATHIQUES;3 ml (3 DH);solution;30 ml de solution buvable en gouttes;SA;3
8610;ÉTODOLIQUE ACIDE;300 mg;comprimé;un comprimé;SA;1
8612;ADRENALINUM POUR PRÉPARATIONS HOMÉOPATHIQUES;3 mL (6 DH);solution;30 mL de solution;SA;5
8613;CALCIUM (LACTATE DE) PENTAHYDRATÉ;50 mg;comprimé;un comprimé;SA;12
8637;IODUM POUR PRÉPARATIONS HOMÉOPATHIQUES;3CH à 30CH et 6DH à 60DH;granuléss;une gélule;SA;14
8639;CINNABARIS POUR PRÉPARATIONS HOMÉOPATHIQUES;4CH à 30CH et 8DH à 60DH;granuléss;un comprimé;SA;17
8642;TEINTURE DE RACINE DE VALÉRIANE;4,5 ml;solution;30 mL de solution buvable;SA;3
8704;SOLIDAGE (TEINTURE DE);0,0120 g;solution;100 ml de solution buvable;SA;10
8736;CHLORHYDRATE DE QUINAPRIL;21,70 mg;comprimé;un comprimé;SA;1
8743;CINERARIA MARITIMA POUR PRÉPARATIONS HOMÉOPATHIQUES;5CH à 30CH et 10DH à 60DH;comprimé;un comprimé;SA;18
8744;CHLORHYDRATE D'URAPIDIL;54,70 mg;solution;une ampoule;SA;1
8749;KALIUM CHLORICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;une gélule;SA;18
8750;GERANIUM ROBERTIANUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;un flacon;SA;18
8751;TÉNOXICAM;20 mg;comprimé;un comprimé;SA;1
8811;MERCURIUS CYANATUS POUR PRÉPARATIONS HOMÉOPATHIQUES;4CH à 30CH et 7DH à 60DH (crème à 4 %);crème;une gélule;SA;16
8829;SELENIUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;4CH à 30CH et 8DH à 60DH;comprimé;un récipient unidose;SA;18
8839;CLEMATIS ERECTA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;un comprimé;SA;18
8846;CYAMÉMAZINE;100 mg;comprimé;un comprimé;FT;1
8873;CALCIUM (PENTÉTATE DE) TRISODIQUE;9,10 mg;poudre;un flacon;SA;2
8910;CROCUS SATIVUS POUR PRÉPARATIONS HOMÉOPATHIQUES;4CH à 30CH et 7DH à 60DH;comprimé;un comprimé;SA;18
8960;GOSSYPIUM HERBACEUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;1 ml;SA;18
8974;SODIUM (IODURE [131 I] DE) (SOLUTION DE);111 MBq;solution;1 ml à la date de calibration;SA;1
8995;DIOSCOREA VILLOSA POUR PRÉPARATIONS HOMÉOPATHIQUES;3 CH;granuléss;100 g de gel;SA;7
9012;MEDULOSS POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH (crème à 4 %);crème;1 mL de suspension;SA;18
9015;MERCURIUS CORROSIVUS POUR PRÉPARATIONS HOMÉOPATHIQUES;4CH à 30CH et 7DH à 60DH;comprimé;1 ml de solution injectable;SA;18
9029;PETROLEUM POUR PRÉPARATIONS HOMÉOPATHIQUES;8 DH 5 mg;comprimé;un comprimé;SA;10
9061;UVA URSI POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;un comprimé;SA;17
9122;ZIDOVUDINE;200 mg;solution;un flacon;SA;1
9129;CILASTATINE SODIQUE;265 mg;poudre;un flacon;SA;2
9146;CASCARA SAGRADA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;un comprimé;SA;17
9166;CYNARA SCOLYMUS POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH (crème à 4 %);crème;une gélule;SA;16
9172;ALCHEMILLA VULGARIS POUR PRÉPARATIONS HOMÉOPATHIQUES;4CH à 30CH et 8DH à 60DH;comprimé;500 ml;SA;18
9182;ZUCLOPENTHIXOL (DICHLORHYDRATE DE);2,38 g;solution;100 ml;SA;1
9195;RHAMNUS FRANGULA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;un comprimé;SA;18
9196;PODOPHYLLINUM POUR PRÉPARATIONS HOMÉOPATHIQUES;3CH à 30CH et 6DH à 60DH;comprimé;un comprimé;SA;18
9231;AMISULPRIDE;100 mg;comprimé;un comprimé;SA;1
9248;ZINCUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;granuléss;100 ml;SA;14
9301;MÉSILATE DE DOXAZOSINE;4,85 mg;comprimé;un comprimé;SA;1
9308;CÉDRON POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;1 ml de solution reconstituée;SA;17
9312;ACONITUM NAPELLUS POUR PRÉPARATIONS HOMÉOPATHIQUES;3CH;granuléss;un comprimé;SA;6
9322;THYMUSINE POUR PRÉPARATIONS HOMÉOPATHIQUES;4CH à 30CH et 8DH à 60DH;comprimé;un comprimé;SA;18
9364;CALCAREA PHOSPHORICA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;un comprimé;SA;18
9401;SENEGA POUR PRÉPARATIONS HOMÉOPATHIQUES;2,222 mg (2 DH);comprimé;un comprimé;SA;9
9414;DIOSMECTITE;3 g;poudre;un sachet de 3,760 g;SA;1
9430;ARSENICUM IODATUM POUR PRÉPARATIONS HOMÉOPATHIQUES;5 mg (6 DH);comprimé;un comprimé;SA;5
9477;DOLICHOS PRURIENS POUR PRÉPARATIONS HOMÉOPATHIQUES;3,75 mL (6 DH);solution;30 mL de solution;SA;7
9542;TERTATOLOL (CHLORHYDRATE DE);5 mg;comprimé;un comprimé;SA;1
9586;TERT-BUTYLAMINE DE PÉRINDOPRIL;4 mg;comprimé;un comprimé;SA;1
9629;EUPHRASIA OFFICINALIS POUR PRÉPARATIONS HOMÉOPATHIQUES;0,004 g (3 DH);collyre;une dose de 0,4 ml;SA;1
9639;NAJA TRIPUDIANS POUR PRÉPARATIONS HOMÉOPATHIQUES;4CH à 30CH et 8DH à 60DH;comprimé;un comprimé;SA;18
9665;ACÉPONATE D'HYDROCORTISONE;0,127 g;crème;100 g de crème;SA;1
9692;ANTIGÈNE  DE SURFACE DE L'HÉPATITE B RECOMBINANT  ;20 microgrammes;suspension;une dose de 1 ml;SA;1
9706;CALCIUM (CHLORURE DE) CRISTALLISÉ;1 g;solution;une ampoule;SA;1
9725;LEPTOSPIRA ICTEROHAEMORRHAGIAE;200.000.000 U;suspension;une seringue préremplie de 1 ml;SA;1
9745;NORADRÉNALINE;1 mg;solution;1 ml de solution à diluer pour perfusion;FT;1
9798;MORNIFLUMATE;700 mg;suppositoire;un suppositoire;SA;1
9801;ÉTOMIDATE;20 mg;émulsion;une ampoule de 10 ml;SA;1
9898;ASPIDIUM FILIX MAS POUR PRÉPARATIONS HOMÉOPATHIQUES;35,5 g (1 DH);solution;100 g de solution buvable;SA;1
9928;MURIATICUM ACIDUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;un comprimé;SA;17
9967;TÉICOPLANINE;100 mg;poudre;un flacon de poudre;SA;1
10029;SPLENINE POUR PRÉPARATIONS HOMÉOPATHIQUES;4CH à 30CH et 8DH à 60DH;comprimé;une gélule;SA;18
10091;SUCCINATE DE MÉTOPROLOL;47,50 mg;comprimé;un comprimé;SA;2
10109;MANGANÈSE (GLUCONATE DE) DIHYDRATÉ;0,240 mg;comprimé;un comprimé;SA;5
10130;KALIUM BICHROMICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;3CH à 30CH et 5DH à 60DH;comprimé;un flacon de poudre;SA;6
10157;CHLORHYDRATE DE VANCOMYCINE;125 mg;poudre;un flacon;SA;1
10171;SIMVASTATINE;20 mg;comprimé;un comprimé;SA;2
10194;PIMPINELLA ANISUM POUR PRÉPARATIONS HOMÉOPATHIQUES;60 mg (2 DH);comprimé;un comprimé;SA;8
10212;STAPHYSAGRIA POUR PRÉPARATIONS HOMÉOPATHIQUES;4 DH (3ml);solution;30 ml de solution buvable;SA;8
10235;STREPTOZOCINE;1 g;lyophilisat;un flacon;SA;1
10313;MENYANTHES TRIFOLIATA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;un comprimé;SA;18
10321;ATROPINE;0,415 mg;solution;une seringue de 5 ml;FT;1
10394;SIMÉTICONE;22,5 mg;gélule bleue gastro-soluble;une gélule;SA;2
10471;CHLORHYDRATE D'ESMOLOL;10 mg;solution;un 1 ml de solution;SA;1
10562;NÉDOCROMIL SODIQUE;2 g;collyre;100 ml;SA;1
10600;MALATHION;0,50 g;lotion;100 ml;SA;1
10622;SANGUINARIA CANADENSIS POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;comprimé;un comprimé;SA;18
10627;DIDANOSINE;100 mg;comprimé;un comprimé;SA;1
10644;RICINUS COMMUNIS POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;granuléss;une dose mesurée de 10 mg de poudre pour inhalation;SA;14
10655;MÉTOCLOPRAMIDE;13,37 mg;comprimé;un comprimé;FT;2
10740;SODIUM (SÉLÉNITE DE) PENTAHYDRATÉ;7,89 microgrammes;solution;1 ml;SA;5
10791;TERPINOL;0,0200 g;suppositoire;un suppositoire;SA;3
10803;BÉZAFIBRATE;400 mg;comprimé;un comprimé;SA;1
10876;SODIUM (OXYBATE DE);500 mg;solution;1 ml;SA;1
10966;POLYFRUCTOSAN;250 mg;solution;1 ml de solution injectable;SA;1
11144;ÉCONAZOLE BASE;0,86 g;poudre;100 g;FT;1
11164;ISOEUGÉNOL;0,015 mg;dispositif n°6 PANEL 1;un dispositif;SA;14
11279;FLUCONAZOLE;2 mg;solution;1 ml de solution pour perfusion;SA;1
11303;PASSIFLORE (POUDRE DES PARTIES AÉRIENNES DE);300 mg;gélule;une gélule;SA;1
11396;CHLORHYDRATE DE NALTREXONE;50 mg;comprimé;un comprimé;SA;1
11401;CHLORHYDRATE D'OXYBUTYNINE;5 mg;comprimé;un comprimé;SA;1
11448;CARBIDOPA MONOHYDRATÉE;27 mg;comprimé;un comprimé;SA;3
11456;POLYSTYRÈNE SULFONATE DE CALCIUM;759-949 mg;poudre;1 g de poudre;SA;1
