CodeCIS;Denomination_medicament;Forme_pharmaceutique;Voie_administration;Type_procédure_AMM;Date_AMM ;Titulaire(s);Surveillance_renforcée
61039384;CEFTAZIDIME MYLAN 1 g, poudre pour solution injectable (IM, IV);poudre pour solution injectable;intramusculaire,intraveineuse;Procédure nationale;15/10/2007; MYLAN SAS;Non
61042206;ROXITHROMYCINE BIOGARAN 150 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure nationale;21/01/2003; BIOGARAN;Non
61042996;GAZYVARO 1000 mg, solution à diluer pour perfusion;solution à diluer pour perfusion;intraveineuse;Procédure centralisée;23/07/2014; ROCHE REGISTRATION;Non
61043151;AMOXICILLINE/ACIDE CLAVULANIQUE TEVA 500 mg/62,5 mg ADULTES, comprimé pelliculé (rapport amoxicilline/acide clavulanique : 8/1);comprimé pelliculé;orale;Procédure nationale;19/11/2004; TEVA SANTE;Non
61045063;EXFORGE HCT 10 mg/160 mg/25 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure centralisée;16/10/2009; NOVARTIS EUROPHARM (IRLANDE);Non
61045113;FEBUXOSTAT ALMUS 120 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure nationale;12/02/2018; ALMUS FRANCE;Non
61045978;CARVEDILOL BIOGARAN 6,25 mg, comprimé sécable;comprimé sécable;orale;Procédure nationale;03/11/2005; BIOGARAN;Non
61046628;FLUTIFORM 125 microgrammes/5 microgrammes par dose, suspension pour inhalation en flacon pressurisé;suspension pour inhalation;inhalée;Procédure décentralisée;16/04/2013; MUNDIPHARMA;Non
61046749;SABADILLA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);01/12/2016; LEHNING;Non
61047826;REIN MEDULLAIRE BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);23/11/2020; BOIRON;Non
61048216;ALTEISDUO 20 mg/25 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure de reconnaissance mutuelle;08/02/2006; MENARINI INTERNATIONAL OPERATIONS LUXEMBOURG;Non
61050007;UPTRAVI 200 microgrammes, comprimé pelliculé;comprimé pelliculé;orale;Procédure centralisée;12/05/2016; ACTELION REGISTRATION;Non
61052638;HELIANTHUS ANNUUS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);05/10/2011; BOIRON;Non
61052830;GLUCOPHAGE 1000 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;orale;Procédure de reconnaissance mutuelle;10/01/2001; MERCK SANTE;Non
61053124;HAMAMELIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);21/05/2013; BOIRON;Non
61054685;AESCULUS COMPLEXE N°103, solution buvable en gouttes;solution buvable en gouttes;sublinguale;Procédure nationale;30/03/2012; LEHNING;Non
61054849;CAYSTON 75 mg, poudre et solvant pour solution pour inhalation;poudre et  solvant pour solution pour inhalation;inhalée;Procédure centralisée;21/09/2009; GILEAD SCIENCES IRELAND UC (IRLANDE);Non
61056501;NIQUITIN 21 mg/24 heures, dispositif transdermique;dispositif;transdermique;Procédure nationale;14/12/2001; LABORATOIRES OMEGA PHARMA FRANCE;Non
61059102;MUPIROCINE ARROW 2 %, pommade;pommade;cutanée;Procédure nationale;18/11/2016; ARROW GENERIQUES;Non
61059636;L52, comprimé orodispersible;comprimé orodispersible;sublinguale;Procédure nationale;11/01/2019; LEHNING;Non
61060033;ALLOPURINOL ZENTIVA 100 mg, comprimé;comprimé;orale;Procédure nationale;21/10/2011; ZENTIVA FRANCE;Non
61060987;NORDIMET 20 mg, solution injectable en stylo prérempli;solution injectable;sous-cutanée;Procédure centralisée;18/08/2016; NORDIC GROUP (PAYS-BAS);Non
61062358;ROSUVASTATINE EVOLUGEN 20 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure nationale;31/07/2017; EVOLUPHARM;Non
61062536;COLCHICUM AUTUMNALE BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);01/08/2011; BOIRON;Non
61063232;VOTUBIA 2,5 mg, comprimé;comprimé;orale;Procédure centralisée;02/09/2011; NOVARTIS EUROPHARM (IRLANDE);Non
61065137;MYOZYME 50 mg, poudre pour solution à diluer pour perfusion;poudre pour solution à diluer pour perfusion;intraveineuse;Procédure centralisée;29/03/2006; GENZYME EUROPE (PAYS BAS);Non
61065653;LAMOTRIGINE MYLAN 25 mg, comprimé dispersible;comprimé dispersible;orale;Procédure nationale;02/07/2007; MYLAN SAS;Non
61066196;ALUNBRIG 90 mg + 180 mg, comprimé pelliculé;comprimé et  comprimé pelliculé;orale;Procédure centralisée;19/11/2019; TAKEDA PHARMA (DANEMARK);Oui
61068966;CARTIFIT 200 mg/250 mg, gélule;gélule;orale;Procédure de reconnaissance mutuelle;18/10/2017; LABORATORIO REIG JOFRE (ESPAGNE);Non
61070180;APREPITANT EG 80 mg, gélule;gélule;orale;Procédure décentralisée;14/01/2019; EG LABO - LABORATOIRES EUROGENERICS;Non
61070305;ORENCIA 50 mg, solution injectable en seringue préremplie;solution injectable;sous-cutanée;Procédure centralisée;08/04/2019; BRISTOL-MYERS SQUIBB PHARMA (IRLANDE);Non
61070725;OXOMEMAZINE EG 0,33 mg/ml, sirop;sirop;orale;Procédure nationale;08/07/2010; EG LABO - LABORATOIRES EUROGENERICS;Non
61071859;ESOMEPRAZOLE ZYDUS 20 mg, gélule gastro-résistante;gélule gastro-résistant(e);orale;Procédure nationale;17/02/2012; ZYDUS FRANCE;Non
61073237;SERETIDE 250 microgrammes/25 microgrammes/dose, suspension pour inhalation en flacon pressurisé avec valve doseuse;suspension pour inhalation;inhalée;Procédure de reconnaissance mutuelle;28/03/2001; GLAXOSMITHKLINE;Non
61073372;METFORMINE SANDOZ 500 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure de reconnaissance mutuelle;02/11/2009; SANDOZ;Non
61073408;FEBUXOSTAT EVOLUGEN 120 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure nationale;28/05/2019; EVOLUPHARM;Non
61073504;ALFALFA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);05/01/2009; BOIRON;Non
61074385;AMLODIPINE/VALSARTAN EG LABO 5 mg/80 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure nationale;13/05/2019; EG LABO - LABORATOIRES EUROGENERICS;Non
61077659;TALTZ 80 mg, solution injectable en stylo pré-rempli;solution injectable;sous-cutanée;Procédure centralisée;25/04/2016; ELI LILLY NEDERLAND BV (PAY-BAS);Non
61077666;PRAVASTATINE SUN 20 mg, comprimé sécable;comprimé sécable;orale;Procédure nationale;28/05/2008; SUN PHARMA FRANCE;Non
61077869;VACCIN BCG AJVaccines, poudre et solvant pour suspension injectable;poudre et  solvant pour suspension injectable;intradermique;Procédure de reconnaissance mutuelle;15/06/2004; AJ VACCINES;Non
61078145;ATOSIBAN SUN 37,5 mg/5 ml, solution à diluer pour perfusion;solution à diluer pour perfusion;intraveineuse;Procédure centralisée;31/07/2013; SUN PHARMACEUTICAL INDUSTRIES EUROPE (PAYS BAS);Non
61078191;W149, solution buvable en gouttes;solution buvable en gouttes;orale;Enreg homéo (Proc. Nat.);21/02/2012; WELEDA;Non
61078992;CHLORURE DE SODIUM PROAMP 0,20 g/ml (20%), solution à diluer pour perfusion;solution à diluer pour perfusion;intraveineuse;Procédure de reconnaissance mutuelle;02/09/2005; AGUETTANT;Non
61080146;LAMZEDE 10 mg, poudre pour solution pour perfusion;poudre pour solution pour perfusion;intraveineuse;Procédure centralisée;23/03/2018; CHIESI FARMACEUTICI;Oui
61081440;CINACALCET TEVA 60 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure décentralisée;28/06/2018; TEVA SANTE;Non
61081636;GABAPENTINE ARROW GENERIQUES 600 mg, comprimé pelliculé sécable;comprimé pelliculé;orale;Procédure décentralisée;12/03/2013; ARROW GENERIQUES;Non
61083530;VERATRUM VIRIDE LEHNING, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);28/05/2019; LEHNING;Non
61084408;BROMAZEPAM ARROW 1,5 mg, comprimé;comprimé;orale;Procédure nationale;06/02/2014; ARROW GENERIQUES;Non
61085944;CIPROFLOXACINE KABI 200 mg/100 ml, solution pour perfusion;solution pour perfusion;intraveineuse;Procédure nationale;09/09/2008; FRESENIUS KABI FRANCE;Non
61087315;W374;granulés et  solution en gouttes en gouttes buvable en gouttes;orale,sublinguale;Enreg homéo (Proc. Nat.);20/11/2020; WELEDA;Non
61087799;NOMEGESTROL SANDOZ 5 mg, comprimé sécable;comprimé sécable;orale;Procédure nationale;13/11/2008; SANDOZ;Non
61088036;ZONEGRAN 25 mg, gélule;gélule;orale;Procédure centralisée;10/03/2005; EISAI (ROYAUME-UNI);Non
61088342;PLANTAGO MAJOR LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);01/07/2013; LEHNING;Non
61090336;TELMISARTAN/AMLODIPINE ARROW 80 mg/5 mg, comprimé;comprimé;orale;Procédure décentralisée;17/06/2020; ARROW GENERIQUES;Non
61090375;CAPTOPRIL ARROW 25 mg, comprimé quadrisécable;comprimé quadrisécable;orale;Procédure nationale;04/09/2001; ARROW GENERIQUES;Non
61090941;LANSOPRAZOLE EVOLUGEN 30 mg, gélule gastro-résistante;gélule gastro-résistant(e);orale;Procédure nationale;27/09/2010; EVOLUPHARM;Non
61091947;LIDOCAÏNE ACCORD 20 mg/mL, solution injectable;solution injectable;infiltration,intramusculaire,intraveineuse,péridurale,sous-cutanée;Procédure décentralisée;15/12/2017; ACCORD HEALTHCARE FRANCE;Non
61092077;MODIGRAF 0,2 mg, granulés pour suspension buvable;granulés pour suspension buvable;orale;Procédure centralisée;15/05/2009; ASTELLAS PHARMA EUROPE (PAYS-BAS);Non
61092935;ONDANSETRON MYLAN 8 mg, comprimé orodispersible;comprimé orodispersible;orale;Procédure nationale;05/02/2007; MYLAN SAS;Non
61094391;DONEPEZIL ARROW 10 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure décentralisée;03/05/2018; ARROW GENERIQUES;Non
61094975;BISOPROLOL SUN 10 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure nationale;28/07/2003; SUN PHARMA FRANCE;Non
61095956;MOVIPREP, poudre pour solution buvable;poudre pour solution buvable;orale;Procédure de reconnaissance mutuelle;09/03/2007; NORGINE (PAYS-BAS);Non
61096912;AMOXICILLINE ZENTIVA LAB 500 mg, gélule;gélule;orale;Procédure nationale;12/09/2014; GLAXOSMITHKLINE;Non
61098183;ATORVASTATINE MYLAN 80 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure décentralisée;06/07/2011; MYLAN SAS;Non
61100467;MOMETASONE CRISTERS 50 microgrammes/dose, suspension pour pulvérisation nasale;suspension pour pulvérisation;nasale;Procédure décentralisée;20/06/2018; CRISTERS;Non
61100905;ARIPIPRAZOLE MYLAN 15 mg, comprimé orodispersible;comprimé orodispersible;orale;Procédure décentralisée;09/02/2018; MYLAN SAS;Non
61101010;PANTOPRAZOLE TEVA SANTE 40 mg, comprimé gastro-résistant;comprimé gastro-résistant(e);orale;Procédure nationale;25/08/2010; TEVA SANTE;Non
61102475;BORTEZOMIB REDDY PHARMA 3,5 mg, poudre pour solution injectable;poudre pour solution injectable;intraveineuse,sous-cutanée;Procédure de reconnaissance mutuelle;18/09/2018; REDDY PHARMA;Non
61103424;LATANOPROST/TIMOLOL EG 50 microgrammes/5 mg par ml, collyre en solution;collyre en solution;ophtalmique;Procédure décentralisée;14/06/2012; EG LABO - LABORATOIRES EUROGENERICS;Non
61106203;GALIUM APARINE LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);05/10/2011; LEHNING;Non
61106705;DESOGESTREL SANDOZ 75 microgrammes, comprimé pelliculé;comprimé pelliculé;orale;Procédure décentralisée;27/03/2018; SANDOZ;Non
61109509;EVANECIA, comprimé enrobé;comprimé enrobé ;orale;Procédure nationale;17/11/2008; BIOGARAN;Non
61110397;CEFEPIME SUBSTIPHARM 2 g, poudre pour solution injectable (IV);poudre pour solution injectable;intraveineuse;Procédure nationale;23/05/2013; SUBSTIPHARM;Non
61111481;PANTOPRAZOLE ACCORD 40 mg, poudre pour solution injectable;poudre pour solution injectable;intraveineuse;Procédure décentralisée;27/06/2017; ACCORD HEALTHCARE FRANCE;Non
61111556;BETAMETHASONE ARROW 0,05 %, solution buvable en gouttes;solution buvable en gouttes;orale;Procédure nationale;10/10/2008; ARROW GENERIQUES;Non
61111570;PHENYLEPHRINE RENAUDIN 100 microgrammes/ml, solution injectable;solution injectable;intraveineuse;Procédure nationale;25/08/2011; LABORATOIRE RENAUDIN;Non
61113361;VANCOMYCINE HIKMA 500 mg, poudre pour solution à diluer pour perfusion;poudre pour solution à diluer pour perfusion;intraveineuse;Procédure décentralisée;06/08/2018; HIKMA FARMACEUTICA (PORTUGAL);Non
61115259;PROPIONATE DE FLUTICASONE/SALMETEROL BGR 250 microgrammes/25 microgrammes/dose, suspension pour inhalation en flacon pressurisé;suspension pour inhalation;inhalée;Procédure nationale;28/10/2019; BIOGARAN;Non
61115501;ENTECAVIR EVOLUGEN 1 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure décentralisée;15/09/2017; EVOLUPHARM;Non
61115864;OXYNORMORO 20 mg, comprimé orodispersible;comprimé orodispersible;orale;Procédure nationale;16/07/2007; MUNDIPHARMA;Non
61115985;ERLOTINIB ZENTIVA 25 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure de reconnaissance mutuelle;31/07/2019; ZENTIVA FRANCE;Non
61117406;ETHINYLESTRADIOL/DROSPIRENONE BIOGARAN 0,03 mg/3 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure nationale;18/01/2011; BIOGARAN;Non
61117819;DOCETAXEL ACCORD 80 mg/4 ml, solution à diluer pour perfusion;solution à diluer pour perfusion;intraveineuse;Procédure centralisée;22/05/2012; ACCORD HEALTHCARE (ESPAGNE);Non
61118337;VIDAZA 25 mg/ml poudre pour suspension injectable;poudre pour suspension injectable;sous-cutanée;Procédure centralisée;17/12/2008; BRISTOL-MYERS SQUIBB PHARMA (IRLANDE);Non
61118586;ROPIVACAINE ALTAN 2 mg/mL, solution injectable;solution injectable;infiltration,péridurale,périneurale;Procédure de reconnaissance mutuelle;16/01/2019; ALTAN PHARMA (IRLANDE);Non
61118764;DAPTOMYCINE NORIDEM 350 mg, poudre pour solution injectable/pour perfusion;poudre pour solution injectable ou pour perfusion;intraveineuse;Procédure décentralisée;19/08/2020; NORIDEM ENTREPRISES LIMITED (CHYPRE);Non
61118807;QUINOFREE 1,5 mg/0,5 ml, collyre en récipient unidose;collyre;ophtalmique;Procédure nationale;12/01/2011; THEA;Non
61119097;LEVOCETIRIZINE TEVA 5 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure décentralisée;18/03/2009; TEVA SANTE;Non
61119492;AMBROXOL MYLAN 0,6 %, solution buvable;solution buvable;orale;Procédure nationale;25/04/2003; MYLAN SAS;Non
61119706;AMOXICILLINE/ACIDE CLAVULANIQUE PANPHARMA 500 mg/50 mg nourrissons et enfants, poudre pour solution injectable (I.V.);poudre pour solution injectable;intraveineuse;Procédure nationale;25/10/2007; PANPHARMA;Non
61120110;LACTICUM ACIDUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);03/02/2017; BOIRON;Non
61120530;IRBESARTAN/HYDROCHLOROTHIAZIDE SANDOZ 150 mg/12,5 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure décentralisée;21/10/2010; SANDOZ;Non
61120893;VFEND 200 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure centralisée;19/03/2002; PFIZER EUROPE MA EEIG (BELGIQUE);Non
61121689;THYMULINE LEHNING, degré de dilution compris entre 5CH et 30CH ou entre 9DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);12/07/2019; LEHNING;Non
61122200;FORSTEO 20 microgrammes/80 microlitres, solution injectable en stylo prérempli;solution injectable;sous-cutanée;Procédure centralisée;10/06/2003; ELI LILLY (PAYS BAS);Non
61124589;EPLERENONE ACCORD 25 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure décentralisée;14/09/2017; ACCORD HEALTHCARE FRANCE;Non
61126992;FLECAINIDE BIOGARAN 100 mg, comprimé sécable;comprimé sécable;orale;Procédure nationale;23/11/2007; BIOGARAN;Non
61127891;FERRUM METALLICUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);03/08/2009; BOIRON;Non
61128000;TRISENOX 2 mg/mL, solution à diluer pour perfusion;solution à diluer pour perfusion;intraveineuse;Procédure centralisée;27/05/2019; TEVA (PAYS-BAS);Non
61129262;NICOTINAMIDE RENAUDIN 500 mg/5 mL, solution injectable;solution injectable;intramusculaire,intraveineuse;Procédure nationale;06/09/2013; LABORATOIRE RENAUDIN;Non
61129497;PRAMIPEXOLE ARROW LAB 0,18 mg, comprimé sécable;comprimé sécable;orale;Procédure décentralisée;16/10/2017; ARROW GENERIQUES;Non
61132034;GLIMEPIRIDE TEVA SANTE 1 mg, comprimé;comprimé;orale;Procédure de reconnaissance mutuelle;13/07/2007; TEVA SANTE;Non
61133378;LOSARTAN ARROW LAB 100 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure de reconnaissance mutuelle;14/05/2018; ARROW GENERIQUES;Non
61136221;IBUPROFENE MYLAN 20 mg/ml ENFANTS ET NOURRISSONS sans sucre, suspension buvable édulcorée au maltitol et à la saccharine sodique;suspension buvable;orale;Procédure nationale;09/09/2008; MYLAN SAS;Non
61136381;IMATINIB ARROW LAB 400 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure nationale;01/06/2017; ARROW GENERIQUES;Non
61136926;RENVELA 800 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure centralisée;10/06/2009; GENZYME EUROPE (PAYS BAS);Non
61137241;IXPRIM 37,5 mg/325 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure de reconnaissance mutuelle;05/04/2002; LABORATOIRES GRUNENTHAL;Non
61137469;BISOPROLOL/HYDROCHLOROTHIAZIDE TEVA 5 mg/6,25 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure décentralisée;16/11/2007; TEVA SANTE;Non
61137907;MEROPENEM SUBSTIPHARM 500 mg, poudre pour solution injectable / pour perfusion;poudre pour solution injectable ou pour perfusion;intraveineuse;Procédure nationale;31/10/2019; SUBSTIPHARM;Non
61138457;IBUPROFENE TEVA CONSEIL 400 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure nationale;29/12/2010; TEVA SANTE;Non
61138546;GLICLAZIDE ARROW LAB 30 mg, comprimé à libération modifiée;comprimé à libération modifiée;orale;Procédure décentralisée;03/07/2008; ARROW GENERIQUES;Non
61141019;SIMVASTATINE EVOLUGEN 40 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure nationale;13/02/2006; EVOLUPHARM;Non
61141332;PULSATILLA BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);01/07/2013; BOIRON;Non
61142295;ARNICA COMPLEXE N°1, solution buvable en gouttes;solution buvable en gouttes;sublinguale;Procédure nationale;04/02/2013; LEHNING;Non
61143842;VALSARTAN EVOLUGEN 40 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;orale;Procédure nationale;30/11/2009; EVOLUPHARM;Non
61145551;ETHINYLESTRADIOL/DROSPIRENONE BIOGARAN 0,02 mg/3 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure nationale;18/01/2011; BIOGARAN;Non
61145640;MEDIKINET 5 mg, gélule à libération modifiée;gélule à libération modifiée;orale;Procédure décentralisée;18/07/2011; MEDICE;Non
61146240;ROPIVACAINE NORIDEM 10 mg/mL, solution injectable;solution injectable;infiltration,péridurale,périneurale;Procédure de reconnaissance mutuelle;15/04/2019; NORIDEM;Non
61146920;NEOSYNEPHRINE 2,5 % FAURE, collyre en solution en récipient unidose;collyre en solution;ophtalmique;Procédure nationale;25/06/2014; EUROPHTA;Non
61147189;EBASTINE CRISTERS 10 mg, comprimé orodispersible;comprimé orodispersible;orale;Procédure nationale;10/08/2018; CRISTERS;Non
61148412;RIVASTIGMINE MYLAN PHARMA 4,6 mg/24 heures, dispositif transdermique;dispositif;transdermique;Procédure décentralisée;29/09/2014; MYLAN SAS;Non
61150445;ROPINIROLE MYLAN 0,25 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure décentralisée;16/04/2008; MYLAN SAS;Non
61151376;MEROPENEM HIKMA 1 g, poudre pour solution injectable/pour perfusion;poudre pour solution injectable ou pour perfusion;intraveineuse;Procédure de reconnaissance mutuelle;13/08/2019; HIKMA FARMACEUTICA (PORTUGAL);Non
61154803;RIVASTIGMINE EG 9,5 mg/24 h, dispositif transdermique;dispositif;transdermique;Procédure décentralisée;06/10/2014; EG LABO - LABORATOIRES EUROGENERICS;Non
61156252;PEMAZYRE 9 mg, comprimé;comprimé;orale;Procédure centralisée;26/03/2021; INCYTE BIOSCIENCES DISTRIBUTION (PAYS-BAS);Oui
61156302;UNIPEXIL 5 %, solution pour application cutanée;solution pour application;cutanée;Procédure nationale;20/02/2013; GIFRER BARBEZAT;Non
61156829;TUKYSA 50 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure centralisée;11/02/2021; SEAGEN (PAYS-BAS);Oui
61156868;CINERARIA MARITIMA BOIRON, degré de dilution compris entre 5CH et 30CH ou entre 10DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);10/12/2010; BOIRON;Non
61158552;BICAVERA 4,25 % GLUCOSE, 1,75 mmol/l calcium, solution pour dialyse péritonéale;solution et  solution pour dialyse péritonéale;intrapéritonéale;Procédure de reconnaissance mutuelle;14/03/2002; FRESENIUS MEDICAL CARE DEUTSCHLAND (ALLEMAGNE);Non
61158602;PARACETAMOL ALMUS 1 g, comprimé;comprimé;orale;Procédure nationale;03/11/2005; ARROW GENERIQUES;Non
61159202;PYROGENIUM BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);19/05/2020; BOIRON;Non
61161203;CIPROFLOXACINE TEVA 250 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;orale;Procédure nationale;09/11/2004; TEVA SANTE;Non
61162248;PREDNISONE SANDOZ 20 mg, comprimé sécable;comprimé sécable;orale;Procédure nationale;12/08/2004; SANDOZ;Non
61164434;LIDOCAÏNE KABI 20 mg/ml, solution injectable;solution injectable;infiltration,intramusculaire,intraveineuse,péridurale,périneurale,sous-cutanée;Procédure décentralisée;29/06/2018; FRESENIUS KABI FRANCE;Non
61165333;SOLANUM NIGRUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);09/04/2020; BOIRON;Non
61165486;BI PROFENID LP 100 mg, comprimé sécable à libération prolongée;comprimé sécable à libération prolongée;orale;Procédure nationale;08/01/2010; SANOFI AVENTIS FRANCE;Non
61166549;FOSTIMONKIT 75 UI, poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;sous-cutanée;Procédure de reconnaissance mutuelle;09/08/2006; LABORATOIRES GENEVRIER;Non
61168571;QUINAPRIL BIOGARAN 20 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;orale;Procédure nationale;18/12/2006; BIOGARAN;Non
61168938;SERUM ANTICOLIBACILLAIRE LEHNING, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);12/07/2019; LEHNING;Non
61170234;VERBASCUM THAPSUS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);19/09/2013; LEHNING;Non
61170825;FENTANYL TEVA SANTE 75 microgrammes/heure, dispositif transdermique;dispositif;transdermique;Procédure de reconnaissance mutuelle;28/07/2008; TEVA SANTE;Non
61171418;LEVONORGESTREL/ETHINYLESTRADIOL BIOGARAN 100 microgrammes/20 microgrammes, comprimé pelliculé;comprimé pelliculé;orale;Procédure nationale;11/06/2015; BIOGARAN;Non
61172819;CHOLECALCIFEROL ARROW 100 000 UI, solution buvable en ampoule;solution buvable;orale;Procédure nationale;31/12/2014; ARROW GENERIQUES;Non
61174122;PACLITAXEL KABI 6 mg/ml, solution à diluer pour perfusion;solution à diluer pour perfusion;intraveineuse;Procédure décentralisée;15/04/2009; FRESENIUS KABI FRANCE;Non
61174695;CAPECITABINE BIOGARAN 500 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure nationale;24/12/2013; BIOGARAN;Non
61174898;CELECOXIB CRISTERS 200 mg, gélule;gélule;orale;Procédure nationale;20/11/2014; CRISTERS;Non
61174930;STIBINE BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH; comprimé et solution(s) et granules et poudre et pommade;cutanée,orale,sublinguale;Enreg homéo (Proc. Nat.);18/12/2019; BOIRON;Non
61177887;BREVIBLOC 10 mg/ml, solution pour perfusion;solution pour perfusion;intraveineuse;Procédure nationale;13/09/2001; BAXTER;Non
61178843;GINKGO ZENTIVA 40 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure nationale;14/08/2015; ZENTIVA FRANCE;Non
61179660;RIASTAP 1 g, poudre pour solution injectable/perfusion;poudre pour solution injectable ou pour perfusion;intraveineuse;Procédure de reconnaissance mutuelle;28/10/2010; CSL BEHRING (ALLEMAGNE);Non
61179767;GLIMEPIRIDE CRISTERS 1 mg, comprimé;comprimé;orale;Procédure nationale;27/08/2009; CRISTERS;Non
61179913;BENAZEPRIL EG 10 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;orale;Procédure nationale;11/09/2006; EG LABO - LABORATOIRES EUROGENERICS;Non
61180239;ZOLMITRIPTAN BIOGARAN 2,5 mg, comprimé pelliculé;comprimé pelliculé;orale;Procédure nationale;29/11/2010; BIOGARAN;Non
61181266;HIZENTRA 200 mg/ml, solution injectable sous-cutanée;solution injectable;sous-cutanée;Procédure centralisée;14/04/2011; CSL BEHRING (ALLEMAGNE);Non
