CodeCIP7;Libelle_presentation;date_commercialisation;Agrément_collectivités ;Taux_remboursement;prix_min;Prix_max;difference_tarifiaire_entre_min_et_max;CodeCIS
3738290;plaquette(s) aluminium PVC PVDC de 90 comprimé(s);26/02/2010;oui;65%;15,76;18,52;2,76;61636187
2766031;plaquette(s) thermoformée(s) polyamide aluminium PVC-Aluminium polytéréphtalate (PET) avec fermeture de sécurité enfant de 30 comprimé(s);29/07/2014;oui;65%;178,42;179,44;1,02;61638238
3007110;plaquette(s) PVC polyéthylène PVDC aluminium de 28 comprimé(s);13/03/2017;oui;65%;4,23;5,25;1,02;61639048
4994500;plaquette(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s);22/08/2012;oui;65%;3,75;4,77;1,02;61642119
4994552;plaquette(s) PVC polyéthylène PVDC aluminium de 90 comprimé(s);12/09/2012;oui;65%;10,85;13,61;2,76;61642119
4982098;plaquette(s) aluminium PVC PVDC de 30 comprimé(s);15/11/2011;oui;65%;3,64;4,66;1,02;61644248
4982129;plaquette(s) aluminium PVC PVDC de 90 comprimé(s);15/11/2011;oui;65%;10,53;13,29;2,76;61644248
3012720;flacon(s) polyéthylène haute densité (PEHD) avec fermeture de sécurité enfant de 30 gélule(s);10/12/2018;oui;65%;3,42;4,44;1,02;61644643
3524844;plaquette(s) PVC PVDC aluminium de 30 gélule(s);27/03/2000;oui;65%;3,42;4,44;1,02;61644643
3688362;plaquette(s) PVC-Aluminium PVDC de 50 comprimé(s);28/04/2006;oui;65%;3,24;4,26;1,02;61649829
4987440;plaquette(s) aluminium de 90 comprimé(s);25/06/2012;oui;65%;6,27;7,29;1,02;61650361
4929767;plaquette(s) thermoformée(s) aluminium de 28 comprimé(s);05/05/2011;oui;65%;4,07;5,09;1,02;61650728
3494468;5 cartouche(s) en verre de 3 ml pour stylo;24/01/2000;oui;65%;28,9;29,92;1,02;61650831
3006945;plaquette(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s);27/04/2017;oui;65%;2,92;3,94;1,02;61651374
3006947;plaquette(s) PVC polyéthylène PVDC aluminium de 90 comprimé(s);27/04/2017;oui;65%;8,22;9,24;1,02;61651374
3009866;plaquette(s) PVC PVDC aluminium de 30 capsule(s);03/12/2018;oui;30%;8,82;9,84;1,02;61653489
3823191;plaquette(s) PVC-Aluminium de 30 comprimé(s);14/02/2008;oui;15%;4,74;5,76;1,02;61653585
3676034;plaquette(s) PVC polyéthylène PVDC aluminium de 30 capsule(s);09/06/2005;oui;65%;36,51;37,53;1,02;61654491
3961510;plaquette(s) PVC PVDC aluminium de 30 comprimé(s);08/12/2009;oui;65%;3,33;4,35;1,02;61662029
3961527;plaquette(s) PVC PVDC aluminium de 90 comprimé(s);18/12/2009;oui;65%;9,04;11,8;2,76;61662029
2782159;plaquette(s) aluminium de 7 comprimé(s);19/08/2014;oui;65%;1,51;2,53;1,02;61662050
2782171;plaquette(s) aluminium de 28 comprimé(s);19/08/2014;oui;65%;5,03;6,05;1,02;61662050
3843288;plaquette(s) aluminium PVC de 30 comprimé(s);19/02/2013;oui;100%;37,34;38,36;1,02;61662634
3985663;plaquette(s) PVC PVDC aluminium de 14 comprimé(s);08/12/2010;oui;30%;2,1;3,12;1,02;61662755
3985692;plaquette(s) PVC PVDC aluminium de 28 comprimé(s);08/12/2010;oui;30%;3,85;4,87;1,02;61662755
3622653;1 flacon(s) polyéthylène de 5  ml;22/03/2004;oui;30%;5,35;6,37;1,02;61662851
3007059;plaquette(s) aluminium de 14 comprimé(s);09/03/2020;oui;65%;2,7;3,72;1,02;61663953
3007060;plaquette(s) aluminium de 28 comprimé(s);04/09/2019;oui;65%;5,03;6,05;1,02;61663953
4961794;plaquette(s) PVC PVDC aluminium de 28 comprimé(s);31/08/2011;oui;65%;1,17;2,19;1,02;61664126
3932098;plaquette(s) PVC (ACLAR RX) polytrifluorochloroéthylène de 8 comprimé(s);22/08/2011;oui;65%;7,4;8,42;1,02;61664368
4900386;1 flacon(s) polyéthylène haute densité (PEHD) de 24,4 g;17/11/2020;oui;65%;91,37;92,39;1,02;61665025
2176364;1 flacon(s) en verre brun avec fermeture de sécurité enfant de 150 ml avec seringue(s) pour administration orale;16/12/2011;oui;30%;2,23;3,25;1,02;61665534
3648629;plaquette(s) PVC PVDC aluminium de 15 comprimé(s);06/12/2004;oui;30%;2,22;3,24;1,02;61665908
3481454;plaquette(s) PVC-Aluminium de 90 comprimé(s);02/02/2009;oui;65%;10,53;13,29;2,76;61665915
2760577;plaquette(s) PVC PVDC aluminium de 30 gélule(s);17/11/2014;oui;65%;2,71;3,73;1,02;61667994
3614464;plaquette(s) PVC-Aluminium de 30 comprimé(s);19/06/2003;oui;65%;4,25;5,27;1,02;61668199
4178841;flacon(s) polyéthylène haute densité (PEHD) de 14 gélule(s);13/04/2017;oui;65%;2,7;3,72;1,02;61671430
4178864;flacon(s) polyéthylène haute densité (PEHD) de 28 gélule(s);19/04/2016;oui;65%;5,03;6,05;1,02;61671430
3945770;plaquette(s) thermoformée(s) PVC PVDC aluminium de 60 comprimé(s);07/09/2009;oui;65%;16,13;17,15;1,02;61671836
3752456;plaquette(s) PVC-Aluminium de 28 comprimé(s);17/04/2013;oui;30%;10,92;11,94;1,02;61672151
2757670;plaquette(s) PVC PVDC aluminium de 120 comprimé(s);09/12/2013;oui;100%;145,37;146,39;1,02;61673260
3587678;plaquette(s) thermoformée(s) PVC-Aluminium de 90 capsule(s);21/01/2013;oui;65%;14,42;15,44;1,02;61673424
3006112;flacon(s) polyéthylène haute densité (PEHD) de 30 comprimé(s);25/08/2016;oui;65%;1,26;2,28;1,02;61673890
3665504;plaquette(s) thermoformée(s) PVC-Aluminium de 30 comprimé(s);16/03/2005;oui;65%;1,26;2,28;1,02;61673890
3894736;1 flacon(s) en verre jaune(brun) de 30 ml avec compte-gouttes polypropylène;02/03/2009;oui;65%;2,77;3,79;1,02;61674704
3934312;plaquette(s) polyamide aluminium PVC-Aluminium de 30 comprimé(s);24/12/2010;oui;65%;5,07;6,09;1,02;61675795
3934335;plaquette(s) polyamide aluminium PVC-Aluminium de 100 comprimé(s);24/12/2010;oui;65%;16,76;17,78;1,02;61675795
3003558;plaquette(s) polyamide aluminium PVC-Aluminium de 90 comprimé(s);01/08/2016;oui;65%;12,81;15,57;2,76;61676897
3003560;flacon(s) polyéthylène haute densité (PEHD) de 30 comprimé(s);26/08/2019;oui;65%;4,36;5,38;1,02;61676897
3011248;plaquette(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s);03/08/2018;oui;65%;4,36;5,38;1,02;61676897
3011250;plaquette(s) PVC polyéthylène PVDC aluminium de 90 comprimé(s);26/09/2018;oui;65%;12,81;15,57;2,76;61676897
3601243;1 pilulier(s) polyéthylène de 30  comprimé(s);01/10/2003;oui;65%;5,29;6,31;1,02;61677928
3738953;1 pilulier(s) polyéthylène de 90 comprimé(s);30/10/2007;oui;65%;14,98;17,74;2,76;61677928
3579414;plaquette(s) PVC-Aluminium de 30 comprimé(s);02/09/2002;oui;65%;2,22;3,24;1,02;61678318
3579420;30 comprimés en flacon(s) (polyéthylène) avec bouchon (polypropylène);23/01/2015;oui;65%;2,22;3,24;1,02;61678318
2198986;plaquette(s) thermoformée(s) PVC-Aluminium de 60 comprimé(s);14/05/2012;oui;65%;22,56;23,58;1,02;61678485
2238214;60 plaquette(s) thermoformée(s) PVC-Aluminium de 1 comprimé(s);08/10/2012;oui;65%;22,56;23,58;1,02;61678485
3894245;8 sachet(s)-dose(s) polytéréphtalate (PET) aluminium polyéthylène de 6 g;05/05/2009;oui;30%;4,4;5,42;1,02;61678930
4900123;plaquette(s) thermoformée(s) PVC-Aluminium de 60 gélule(s);26/06/2017;oui;30%;15,25;16,27;1,02;61679256
4900124;plaquette(s) thermoformée(s) PVC-Aluminium de 180 gélule(s);04/09/2017;oui;30%;45,41;46,43;1,02;61679256
3009797;10 seringue(s) préremplie(s) en verre de 1 ml;24/02/2021;oui;65%;68,16;69,18;1,02;61679306
3553113;4 sachet(s) papier polyéthylène aluminium copolymère d'éthylène de 1 dispositif(s);06/06/2001;oui;65%;9,28;10,3;1,02;61679651
3624698;8 sachet(s)-dose(s) papier aluminium polyéthylène de 4 g;03/01/2005;oui;65%;1,16;2,18;1,02;61681702
3438441;7 cartouche(s) bicompartimentée(s) en verre avec seringue;12/11/2002;oui;100%;113,12;114,14;1,02;61681780
3782894;plaquette(s) thermoformée(s) PVC PVDC aluminium de 25 comprimé(s);16/12/2015;oui;65%;8,18;9,2;1,02;61683272
3709957;plaquette(s) thermoformée(s) PVC PVDC aluminium de 105 gomme(s);09/10/2006;oui;65%;11,24;12,26;1,02;61683322
3757695;plaquette(s) thermoformée(s) PVC PVDC aluminium de 210 gomme(s);12/01/2018;oui;65%;22,42;23,44;1,02;61683322
2780166;plaquette(s) aluminium de 90 comprimé(s);17/12/2014;oui;30%;5,35;6,37;1,02;61683436
3958413;plaquette(s) aluminium PVC de 5 comprimé(s);20/06/2011;oui;65%;8,73;9,75;1,02;61684812
2760956;plaquette(s) PVC PVDC aluminium de 30 gélule(s);17/11/2014;oui;65%;5,06;6,08;1,02;61685049
3705043;plaquette(s) PVC-Aluminium de 7 comprimé(s);24/04/2007;oui;65%;1,71;2,73;1,02;61688718
2165366;plaquette(s) PVC PVDC aluminium de 28 comprimé(s);03/12/2013;oui;30%;5,69;6,71;1,02;61689364
2792850;1 flacon(s) en verre de 60 ml de suspension buvable après reconstitution avec cuillère-mesure polystyrène;02/06/2015;oui;65%;1,49;2,51;1,02;61690110
3567664;5 cartouche(s) en verre de 3 ml dans stylo pré-rempli;02/04/2002;oui;65%;33,99;35,01;1,02;61693569
3685286;plaquette(s) thermoformée(s) PVC-Aluminium de 12 comprimé(s);17/10/2005;non;65%;6,56;7,58;1,02;61695417
3781759;plaquette(s) PVC PVDC de 30 comprimé(s);14/08/2007;oui;65%;11,34;12,36;1,02;61695837
3781771;plaquette(s) PVC PVDC de 90 comprimé(s);14/08/2007;oui;65%;32,15;34,91;2,76;61695837
3009190;1 flacon(s) en verre de 10 ml;17/07/2017;oui;65%;16,11;17,13;1,02;61696661
3009192;1 flacon(s) en verre de 15 ml;17/07/2017;oui;65%;23,68;24,7;1,02;61696661
3009194;1 flacon(s) en verre de 20 ml;17/07/2017;oui;65%;30,32;31,34;1,02;61696661
3763000;plaquette(s) thermoformée(s) aluminium de 28 comprimé(s);16/10/2006;non;65%;4,1;5,12;1,02;61696953
4926740;plaquette(s) PVC (ACLAR RX) polytrifluorochloroéthylène de 30 comprimé(s);03/01/2014;oui;65%;38,6;39,62;1,02;61697585
3016114;1 flacon(s) polypropylène de 2,5 ml avec compte-gouttes polyéthylène basse densité (PEBD);20/06/2019;oui;65%;5,56;6,58;1,02;61698064
3696700;pilulier(s) polypropylène de 30 comprimé(s);28/10/2005;oui;65%;6,81;7,83;1,02;61698947
2196728;plaquette(s) thermoformée(s) PVC (ACLAR RX) polytrifluorochloroéthylène aluminium de 30 comprimé(s);04/08/2015;oui;65%;9,17;10,19;1,02;61699593
3007891;plaquette(s) OPA : polyyamide orienté aluminium PVC de 56 comprimé(s);26/03/2018;oui;65%;14,62;15,64;1,02;61701717
3645683;plaquette(s) PVC polyéthylène PVDC aluminium de 14 comprimé(s);10/07/2007;oui;15%;1,64;2,66;1,02;61705683
3964098;5 sachet(s) polytéréphtalate (PET) aluminium P-A-M-éthylène (SURLYN) avec fermeture de sécurité enfant de 1 dispositif(s) avec système de récupération;08/01/2010;oui;65%;14,83;15,85;1,02;61706123
2167253;plaquette(s) PVC PVDC aluminium de 90 comprimé(s);05/06/2012;oui;65%;6,67;9,43;2,76;61706205
3884577;plaquette(s) PVC PVDC aluminium de 30 comprimé(s);07/04/2010;oui;65%;2,55;3,57;1,02;61706205
3006004;120 plaquette(s) thermoformée(s) OPA : polyamide orienté aluminium PVC-Aluminium de 1 comprimé(s);10/07/2019;oui;100%;182,33;183,35;1,02;61708715
3021017;plaquette(s) aluminium OPA : polyamide orienté PVC de 30 comprimé(s);27/09/2021;oui;65%;4,54;5,56;1,02;61709468
3022271;plaquette(s) aluminium OPA : polyamide orienté PVC de 90 comprimé(s);27/09/2021;oui;65%;13,27;16,03;2,76;61709468
3514739;plaquette(s) PVC-Aluminium suremballée(s)/surpochée(s) de 10 lyophilisat(s);27/06/2003;non;30%;1,34;2,36;1,02;61710577
3723288;1 flacon(s) en verre de 591 mg;09/11/2006;oui;65%;5,14;6,16;1,02;61710919
3852465;plaquette(s) thermoformée(s) PVC PVDC aluminium de 24 gélule(s);21/04/2011;oui;65%;1,58;2,6;1,02;61712279
3000223;1 tube(s) aluminium de 30 g;06/07/2015;oui;65%;16,38;17,4;1,02;61712553
4900238;plaquette(s) polypropylène polycyclooléfine aluminium de 30 comprimé(s);19/06/2018;oui;65%;4,13;5,15;1,02;61713388
4900239;plaquette(s) polypropylène polycyclooléfine aluminium de 90 comprimé(s);19/06/2018;oui;65%;11,49;14,25;2,76;61713388
2192564;plaquette(s) thermoformée(s) polyamide aluminium PVC-Aluminium de 60 comprimé(s);23/08/2012;oui;65%;15,21;16,23;1,02;61716968
3872396;flacon(s) polyéthylène haute densité (PEHD) de 21 comprimé(s) avec fermeture de sécurité enfant;01/12/2008;oui;65%;4,99;6,01;1,02;61720468
3436821;plaquette(s) thermoformée(s) PVC-aluminium de 50 comprimé(s);10/12/2003;oui;65%;7,92;8,94;1,02;61721132
3561644;plaquette(s) thermoformée(s) PVC-aluminium de 30 comprimé(s);03/09/2001;oui;65%;6,11;7,13;1,02;61722191
3841622;plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s);15/01/2010;oui;30%;4,84;5,86;1,02;61726688
3010120;plaquette(s) PVC polychlortrifluoroéthylène aluminium de 30 comprimé(s);04/05/2018;oui;65%;16,02;17,04;1,02;61729702
3010122;plaquette(s) PVC polychlortrifluoroéthylène aluminium de 60 comprimé(s);04/05/2018;oui;65%;31,63;32,65;1,02;61729702
3940169;plaquette(s) formée(s) à froid polyamide aluminium PVC de 30 comprimé(s);26/08/2010;oui;65%;3,64;4,66;1,02;61734749
3940181;plaquette(s) formée(s) à froid polyamide aluminium PVC de 90 comprimé(s);26/08/2010;oui;65%;10,53;13,29;2,76;61734749
3642911;plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s);15/04/2005;oui;65%;1,23;2,25;1,02;61736700
3013595;plaquette(s) PVC PVDC aluminium de 30 comprimé(s);04/01/2021;oui;65%;6,37;7,39;1,02;61740296
3013599;plaquette(s) PVC PVDC aluminium de 90 comprimé(s);04/01/2021;oui;65%;17,99;20,75;2,76;61740296
3016045;plaquette(s) OPA : polyamide orienté aluminium PVC-Aluminium de 7 comprimé(s);03/06/2019;oui;65%;2,12;3,14;1,02;61740691
3016047;plaquette(s) OPA : polyamide orienté aluminium PVC-Aluminium de 28 comprimé(s);03/06/2019;oui;65%;8,09;9,11;1,02;61740691
2762010;1 plaquette(s) aluminium de 30 dose(s) avec inhalateur(s);02/11/2018;oui;65%;31,4;32,42;1,02;61740809
3020854;3 plaquette(s) aluminium de 30 dose(s) avec inhalateur(s);17/12/2020;non;65%;93,39;94,41;1,02;61740809
3515822;1 flacon(s) en verre brun de 120 dose(s) muni d'une pompe à valve doseuse et d'un embout nasal polypropylène;16/06/2000;oui;30%;5,47;6,49;1,02;61741918
3014275;30 plaquette(s) prédécoupées unitaires OPA : polyamide orienté aluminium PVC-Aluminium de 1 comprimé(s);16/08/2018;oui;65%;8,67;9,69;1,02;61743004
3014276;90 plaquette(s) prédécoupées unitaires OPA : polyamide orienté aluminium PVC-Aluminium de 1 comprimé(s);16/08/2018;oui;65%;24,59;27,35;2,76;61743004
4900781;1 plaquette(s) thermoformée(s) de 60 gélule(s);20/10/2011;oui;30%;15,25;16,27;1,02;61743292
4901326;plaquette(s) thermoformée(s) PVC-Aluminium de 180 gélule(s);27/05/2013;oui;30%;45,41;46,43;1,02;61743292
3009124;plaquette(s) PVC PVDC aluminium de 30 capsule(s);28/07/2017;oui;30%;8,82;9,84;1,02;61743794
3855446;tube(s) polypropylène de 30 comprimé(s);14/04/2009;oui;65%;1,69;2,71;1,02;61746541
3021832;1 flacon(s) polypropylène de 2,5 ml avec embout(s) de dispensation polyéthylène basse densité (PEBD) suremballée(s)/surpochée(s);01/12/2021;non;65%;5,56;6,58;1,02;61746783
3741286;flacon(s) polypropylène avec pompe(s) doseuse(s) de 120 dose(s);09/03/2007;oui;30%;5,6;6,62;1,02;61748649
4900358;1 flacon(s) pressurisé(s) aluminium avec valve(s) doseuse(s) avec embout(s) buccal(aux) de 200 dose(s);04/05/2021;oui;65%;13,65;14,67;1,02;61749562
3783882;plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s);23/08/2018;oui;65%;5,33;6,35;1,02;61752722
3783899;plaquette(s) thermoformée(s) PVC PVDC aluminium de 90 comprimé(s);23/08/2018;oui;65%;15,87;18,63;2,76;61752722
4900145;1 flacon(s) pressurisé(s) de 200  dose(s) aluminium avec valve doseuse avec embout buccal;03/04/2017;oui;65%;3,76;4,78;1,02;61754100
3008453;10 flacon(s) en verre de 250 mg;13/12/2019;oui;65%;93;94,02;1,02;61754342
4150908;2 film(s) thermosoudé(s) papier polyéthylène aluminium P-A-M-éthylène (SURLYN) de 4 comprimé(s);12/05/2014;oui;65%;1,16;2,18;1,02;61754805
3959921;plaquette(s) aluminium de 30 gélule(s);08/01/2010;oui;65%;4,3;5,32;1,02;61763366
3959944;plaquette(s) aluminium de 90 gélule(s);22/01/2010;oui;65%;12,62;15,38;2,76;61763366
3614524;plaquette(s) PVC-Aluminium de 30 comprimé(s);06/05/2003;oui;65%;1,85;2,87;1,02;61763619
3876282;plaquette(s) thermoformée(s) PVC PVDC aluminium de 4 comprimé(s);26/02/2009;oui;65%;5,38;6,4;1,02;61765641
2753962;plaquette(s) aluminium de 30 comprimé(s);17/01/2014;oui;65%;3,75;4,77;1,02;61767005
2754016;plaquette(s) aluminium de 90 comprimé(s);17/01/2014;oui;65%;10,85;13,61;2,76;61767005
3016797;plaquette(s) thermoformée(s) avec système de sécurité PVC PVDC aluminium de 7 gélule(s);25/08/2020;oui;65%;8,74;9,76;1,02;61767418
2241570;plaquette(s) thermoformée(s) polyamide aluminium PVC-Aluminium de 30 comprimé(s);14/09/2012;oui;65%;7,93;8,95;1,02;61767507
3671611;plaquette(s) PVC aluminium de 10 comprimé(s);09/12/2005;oui;65%;7,11;8,13;1,02;61768203
4995497;plaquette(s) formée(s) à froid polyamide aluminium PVC-Aluminium de 90 comprimé(s);06/04/2011;oui;65%;6,27;7,29;1,02;61771085
4995511;plaquette(s) formée(s) à froid polyamide aluminium PVC-Aluminium de 270 comprimé(s);06/04/2011;oui;65%;17,74;20,5;2,76;61771085
3576597;1 flacon(s) en verre brun de 5,1 g avec cuillère-mesure polypropylène (correspondant à 12 cuillères-mesure);21/01/2002;oui;65%;1,16;2,18;1,02;61771313
3894713;1 flacon(s) en verre jaune(brun) de 30 ml avec pipette(s) compte-gouttes polypropylène;24/02/2009;oui;65%;2,77;3,79;1,02;61773264
3523951;4 sachet(s) P-A-M-éthylène (SURLYN) aluminium polyéthylène papier de 1  dispositif(s);21/08/2000;oui;65%;5,87;6,89;1,02;61774149
3750144;film(s) thermosoudé(s) aluminium de 16 comprimé(s);28/08/2012;oui;65%;4,73;5,75;1,02;61777273
3750150;film(s) thermosoudé(s) aluminium de 24 comprimé(s);28/08/2012;oui;65%;5,89;6,91;1,02;61777273
3450703;plaquette(s) thermoformée(s) PVC aluminium de 30 comprimé(s);20/04/2018;oui;65%;3,64;4,66;1,02;61782427
3562885;plaquette(s) thermoformée(s) PVC-aluminium de 90 comprimé(s);20/04/2018;oui;65%;10,53;13,29;2,76;61782427
3680685;plaquette(s) PVC-Aluminium de 60 comprimé(s);27/06/2006;oui;65%;36,22;37,24;1,02;61782861
3001763;10 récipient(s) unidose(s) polyéthylène basse densité (PEBD) suremballée(s)/surpochée(s) de 2 ml;14/09/2015;oui;65%;3,74;4,76;1,02;61783550
3021259;1 flacon(s) polyéthylène haute densité (PEHD) avec fermeture à témoin d'effraction de 30 comprimé(s);25/08/2021;oui;100%;63,81;64,83;1,02;61785366
3824486;pilulier(s) polyéthylène haute densité (PEHD) avec fermeture de sécurité enfant de 30 comprimé(s);13/06/2019;oui;100%;63,81;64,83;1,02;61785366
3005244;30 plaquette(s) PVC PVDC aluminium de 1 comprimé(s);03/01/2018;oui;65%;7,37;8,39;1,02;61785626
3008353;90 plaquette(s) PVC PVDC aluminium de 1 comprimé(s);03/01/2018;oui;65%;21,9;24,66;2,76;61785626
2167282;plaquette(s) PVC PVDC aluminium de 90 comprimé(s);05/06/2012;oui;65%;13,76;16,52;2,76;61788049
3884672;plaquette(s) PVC PVDC aluminium de 30 comprimé(s);07/04/2010;oui;65%;4,66;5,68;1,02;61788049
3588442;plaquette(s) thermoformée(s) PVC-aluminium de 15  comprimé(s);03/05/2011;oui;30%;2,22;3,24;1,02;61788565
3019330;plaquette(s) PVC PVDC aluminium de 30 comprimé(s);27/07/2020;oui;65%;4,41;5,43;1,02;61788775
3019331;plaquette(s) PVC PVDC aluminium de 90 comprimé(s);27/07/2020;non;65%;12,52;15,28;2,76;61788775
3009021;90 sachet(s) polytéréphtalate (PET) polyéthylène basse densité (PEBD) aluminium;05/12/2017;oui;65%;102,53;103,55;1,02;61792923
3950110;1 flacon(s) en verre de 6,6 ml avec bouchon à vis muni d'un pinceau applicateur;01/09/2010;oui;30%;14,89;15,91;1,02;61794408
3004584;plaquette(s) PVC PVDC aluminium de 30 comprimé(s);28/07/2016;oui;65%;4,13;5,15;1,02;61799519
3225260;1 flacon(s) de 1 g;05/10/2016;oui;65%;1,53;2,55;1,02;61801023
3783385;plaquette(s) aluminium PVC PVDC de 30 comprimé(s);05/01/2011;oui;65%;4,79;5,81;1,02;61803711
3783617;plaquette(s) aluminium PVC PVDC de 90 comprimé(s);05/01/2011;oui;65%;14,19;16,95;2,76;61803711
3529741;plaquette(s) PVC-Aluminium de 30 comprimé(s);27/11/2000;oui;65%;3,48;4,5;1,02;61804539
4969985;plaquette(s) PVC-Aluminium polyamide aluminium de 14 comprimé(s);13/11/2012;oui;65%;2,7;3,72;1,02;61805185
4970020;plaquette(s) PVC-Aluminium polyamide aluminium de 28 comprimé(s);13/11/2012;oui;65%;5,03;6,05;1,02;61805185
3004997;plaquette(s) OPA : polyamide orienté aluminium PVC de 30 comprimé(s);28/08/2017;non;65%;4,36;5,38;1,02;61805662
3005001;plaquette(s) OPA : polyamide orienté aluminium PVC de 90 comprimé(s);03/08/2017;non;65%;12,81;15,57;2,76;61805662
3001674;flacon(s) polyéthylène haute densité (PEHD) avec fermeture de sécurité enfant de 30 comprimé(s);06/09/2016;non;65%;10,34;11,36;1,02;61810086
4939926;plaquette(s) thermoformée(s) aluminium de 28 comprimé(s);28/09/2011;oui;65%;9,66;10,68;1,02;61810086
4168653;flacon(s) polyéthylène haute densité (PEHD) avec fermeture de sécurité enfant de 28 gélule(s);11/02/2013;oui;65%;14,58;15,6;1,02;61810983
3692145;28 plaquette(s) formée(s) à froid aluminium de 1 comprimé(s);14/09/2006;oui;65%;23,83;24,85;1,02;61815891
3003791;4 plaquette(s) PVC PVDC aluminium de 14 comprimé(s);04/01/2016;oui;65%;141,19;142,21;1,02;61816438
3773748;1 flacon(s) en verre de 10,5 g avec seringue(s) pour administration orale polyéthylène polystyrène;22/09/2017;oui;65%;4,41;5,43;1,02;61817344
3705037;plaquette(s) thermoformée(s) PVC-Aluminium de 30 comprimé(s);03/02/2006;oui;15%;4,19;5,21;1,02;61818407
3014515;plaquette(s) PVC (ACLAR RX) polytrifluorochloroéthylène aluminium de 30 comprimé(s);24/06/2021;non;65%;3,64;4,66;1,02;61819530
3672326;20 récipient(s) unidose(s) polyéthylène basse densité (PEBD) de 2 ml;09/05/2005;oui;65%;24,2;25,22;1,02;61819669
3773228;1 tube(s) aluminium verni de 30 g;20/07/2007;oui;30%;1,72;2,74;1,02;61820358
3014695;30 plaquette(s) prédécoupées unitaires PVC aluminium de 1 comprimé(s) (30x1);04/01/2021;oui;65%;41,09;42,11;1,02;61823589
3815524;plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s);05/08/2008;oui;65%;5,29;6,31;1,02;61823653
3815553;plaquette(s) thermoformée(s) PVC PVDC aluminium de 90 comprimé(s);11/08/2008;oui;65%;15,76;18,52;2,76;61823653
3015013;plaquette(s) OPA : polyamide orienté aluminium PVC-Aluminium de 30 comprimé(s);24/10/2018;oui;65%;4,98;6;1,02;61823685
3015017;plaquette(s) OPA : polyamide orienté aluminium PVC-Aluminium de 90 comprimé(s);24/10/2018;oui;65%;14,75;17,51;2,76;61823685
2184613;plaquette(s) thermoformée(s) PVC PVDC aluminium de 28 comprimé(s);28/08/2012;oui;65%;4,1;5,12;1,02;61823920
2184642;plaquette(s) thermoformée(s) PVC PVDC aluminium de 84 comprimé(s);30/07/2012;oui;65%;11,96;14,72;2,76;61823920
2745135;plaquette(s) aluminium de 30 comprimé(s);08/06/2021;oui;65%;3,75;4,77;1,02;61824972
2745187;plaquette(s) aluminium de 90 comprimé(s);16/03/2021;non;65%;10,85;13,61;2,76;61824972
2237255;plaquette(s) polyamide aluminium PVC-Aluminium de 28 comprimé(s);25/05/2016;oui;65%;4,1;5,12;1,02;61830893
3004274;plaquette(s) polyamide aluminium PVC-Aluminium de 90 comprimé(s);09/06/2016;oui;65%;12,81;15,57;2,76;61830893
3565576;plaquette(s) thermoformée(s) PVC-Aluminium polychlortrifluoroéthylène de 15 comprimé(s);22/05/2002;oui;30%;1,89;2,91;1,02;61833327
3565607;plaquette(s) thermoformée(s) PVC-Aluminium polychlortrifluoroéthylène de 30 comprimé(s);23/01/2002;oui;30%;3,46;4,48;1,02;61833327
4950013;plaquette(s) thermoformée(s) PVC-Aluminium polychlortrifluoroéthylène de 30 comprimé(s) (distributeur parallèle :  MEDIWIN Limited);07/04/2016;oui;30%;3,46;4,48;1,02;61833327
4950022;plaquette(s) thermoformée(s) PVC-Aluminium polychlortrifluoroéthylène de 30 comprimé(s)(distributeur parallèle : BB FARMA s.r.l);21/11/2016;oui;65%;3,46;4,48;1,02;61833327
3285842;5 ampoule(s) en verre de 4 ml;26/06/2002;oui;65%;6,49;7,51;1,02;61834055
3658303;plaquette(s) PVC aluminium de 30 comprimé(s);17/10/2005;oui;65%;1,34;2,36;1,02;61834404
4989663;plaquette(s) thermoformée(s) PVC polychlortrifluoroéthylène aluminium de 30 comprimé(s);08/03/2012;oui;65%;4,13;5,15;1,02;61836960
4989692;plaquette(s) thermoformée(s) PVC polychlortrifluoroéthylène aluminium de 90 comprimé(s);22/11/2021;non;65%;11,49;14,25;2,76;61836960
3305421;1 flacon(s) polyéthylène de 250 ml;01/02/2002;oui;30%;2,37;3,39;1,02;61837560
3716727;9 plaquette(s) thermoformée(s) polyamide PVC-Aluminium de 10 comprimé(s);12/01/2007;oui;65%;15,76;18,52;2,76;61842988
3777723;3 plaquette(s) thermoformée(s) polyamide PVC-Aluminium de 10 comprimé(s);12/01/2008;oui;65%;5,29;6,31;1,02;61842988
3671309;plaquette(s) PVC-Aluminium de 14 comprimé(s);04/11/2005;oui;15%;1,64;2,66;1,02;61843104
3015536;plaquette polyamide aluminium PVC-Aluminium de 4 comprimés;03/04/2019;oui;65%;8,53;9,55;1,02;61843531
2756475;2 stylo prérempli en verre de 0,3 ml avec aiguille(s) acier inoxydable;16/07/2014;oui;65%;69,28;70,3;1,02;61846627
2732842;plaquette(s) PVC-Aluminium de 30 comprimé(s);13/08/2013;oui;65%;4,95;5,97;1,02;61846762
